gene	Knum
NODE_10088_length_1614_cov_24.422902_g2459_i2.p4	K10408
NODE_1008_length_4281_cov_123.020695_g667_i0.p3	K10416
NODE_10090_length_1614_cov_19.815875_g6935_i0.p1	K22803
NODE_10090_length_1614_cov_19.815875_g6935_i0.p2	K00281
NODE_10091_length_1614_cov_12.474951_g6936_i0.p1	K03469
NODE_10092_length_1614_cov_12.266103_g306_i1.p1	K17785
NODE_10094_length_1614_cov_8.627846_g6938_i0.p1	K09228
NODE_10095_length_1613_cov_13226.362630_g6939_i0.p5	K16910
NODE_10096_length_1613_cov_12542.958984_g6939_i1.p5	K16910
NODE_10097_length_1613_cov_12058.911458_g6939_i2.p5	K16910
NODE_10098_length_1613_cov_11537.350260_g6939_i3.p5	K16910
NODE_10099_length_1613_cov_9498.093750_g1123_i2.p1	K10421
NODE_1009_length_4281_cov_122.019981_g668_i0.p1	K07052
NODE_10100_length_1613_cov_5814.655599_g101_i6.p2	K25080
NODE_10100_length_1613_cov_5814.655599_g101_i6.p1	K23934
NODE_10101_length_1613_cov_1514.383464_g6940_i0.p1	K03469
NODE_10102_length_1613_cov_1444.809896_g6941_i0.p1	K11581
NODE_10103_length_1613_cov_1261.105469_g6942_i0.p3	K09229
NODE_10104_length_1613_cov_635.468750_g6943_i0.p1	K07418
NODE_10105_length_1613_cov_405.820964_g6944_i0.p1	K01255
NODE_10106_length_1613_cov_355.725911_g360_i12.p1	K03555
NODE_10107_length_1613_cov_308.746094_g360_i13.p1	K00226
NODE_10108_length_1613_cov_181.744141_g6945_i0.p1	K08161
NODE_10109_length_1613_cov_102.534505_g6946_i0.p1	K13752
NODE_1010_length_4278_cov_2050.378719_g669_i0.p1	K05642
NODE_10111_length_1613_cov_16.775391_g6948_i0.p2	K15456
NODE_10111_length_1613_cov_16.775391_g6948_i0.p1	K23113
NODE_10112_length_1613_cov_2.747396_g6949_i0.p1	K11492
NODE_10113_length_1612_cov_14394.706189_g5859_i1.p1	K17943
NODE_10113_length_1612_cov_14394.706189_g5859_i1.p4	K05365
NODE_10114_length_1612_cov_4117.904235_g6950_i0.p1	K07085
NODE_10115_length_1612_cov_4111.219544_g2270_i8.p1	K17603
NODE_10116_length_1612_cov_3948.227362_g6951_i0.p1	K10867
NODE_10117_length_1612_cov_2819.308143_g6952_i0.p1	K15381
NODE_10118_length_1612_cov_1988.623453_g1610_i2.p5	K07203
NODE_10118_length_1612_cov_1988.623453_g1610_i2.p2	K16533
NODE_1011_length_4277_cov_6135.575238_g362_i2.p1	K16833
NODE_1011_length_4277_cov_6135.575238_g362_i2.p4	K16540
NODE_1011_length_4277_cov_6135.575238_g362_i2.p3	K17567
NODE_10120_length_1612_cov_156.936808_g6954_i0.p2	K00472
NODE_10120_length_1612_cov_156.936808_g6954_i0.p1	K19721
NODE_10121_length_1612_cov_65.227362_g6955_i0.p1	K09800
NODE_10121_length_1612_cov_65.227362_g6955_i0.p7	K03019
NODE_10122_length_1612_cov_40.505537_g6956_i0.p1	K0828
NODE_10123_length_1612_cov_39.763518_g939_i6.p4	K08834
NODE_10123_length_1612_cov_39.763518_g939_i6.p1	K01937
NODE_10124_length_1611_cov_4556.438070_g6957_i0.p1	K07090
NODE_10125_length_1611_cov_4367.643416_g6958_i0.p1	K10895
NODE_10126_length_1611_cov_3354.874185_g6959_i0.p1	K11274
NODE_10127_length_1611_cov_946.571708_g6960_i0.p1	K01210
NODE_10128_length_1611_cov_215.438070_g6961_i0.p1	K11303
NODE_10129_length_1611_cov_162.124511_g6962_i0.p2	K16468
NODE_10129_length_1611_cov_162.124511_g6962_i0.p1	K20813
NODE_1012_length_4277_cov_1460.874762_g644_i1.p1	K14569
NODE_1012_length_4277_cov_1460.874762_g644_i1.p2	K14292
NODE_10130_length_1611_cov_29.529987_g5239_i1.p1	K06227
NODE_10131_length_1610_cov_760.444879_g3508_i3.p3	K14557
NODE_10131_length_1610_cov_760.444879_g3508_i3.p1	K20478
NODE_10133_length_1610_cov_151.055447_g6964_i0.p1	K03469
NODE_10134_length_1610_cov_147.245923_g3536_i4.p2	K12035
NODE_10135_length_1610_cov_32.480757_g6965_i0.p1	K01890
NODE_10136_length_1610_cov_11.681018_g6275_i1.p1	K14454
NODE_10136_length_1610_cov_11.681018_g6275_i1.p2	K07967
NODE_10137_length_1609_cov_5973.567885_g6173_i1.p1	K16496
NODE_10138_length_1609_cov_1820.876632_g6966_i0.p1	K1499
NODE_10139_length_1609_cov_612.269582_g6967_i0.p1	K02871
NODE_1013_length_4274_cov_3517.369311_g670_i0.p1	K10408
NODE_10140_length_1609_cov_485.842037_g6968_i0.p1	K06974
NODE_10141_length_1609_cov_344.234987_g142_i6.p1	K20276
NODE_10142_length_1609_cov_131.424935_g6954_i1.p1	K19721
NODE_10142_length_1609_cov_131.424935_g6954_i1.p2	K00472
NODE_10143_length_1609_cov_39.449739_g3530_i3.p1	K09667
NODE_10144_length_1609_cov_9.248695_g6969_i0.p1	K03088
NODE_10145_length_1609_cov_7.337467_g6970_i0.p1	K22615
NODE_10146_length_1608_cov_13294.986283_g3040_i3.p3	K23949
NODE_10147_length_1608_cov_7241.918354_g6971_i0.p1	K10355
NODE_10148_length_1608_cov_4264.141737_g6972_i0.p1	K12875
NODE_10149_length_1608_cov_2916.250816_g6973_i0.p1	K13412
NODE_1014_length_4274_cov_408.173457_g656_i1.p1	K04954
NODE_10150_length_1608_cov_1950.542129_g1309_i1.p1	K03979
NODE_10152_length_1608_cov_976.966688_g57_i13.p1	K08022
NODE_10152_length_1608_cov_976.966688_g57_i13.p3	K03283
NODE_10153_length_1608_cov_534.919007_g6975_i0.p1	K13412
NODE_10154_length_1608_cov_216.958850_g1774_i20.p1	K00281
NODE_10155_length_1608_cov_22.212280_g6976_i0.p1	K20276
NODE_10158_length_1607_cov_7522.303268_g6979_i0.p3	K19020
NODE_10158_length_1607_cov_7522.303268_g6979_i0.p1	K13849
NODE_10159_length_1607_cov_6817.133987_g4206_i3.p1	K10389
NODE_1015_length_4273_cov_2974.536702_g671_i0.p1	K12472
NODE_10161_length_1607_cov_1097.156209_g6981_i0.p1	K01854
NODE_10161_length_1607_cov_1097.156209_g6981_i0.p4	K04079
NODE_10164_length_1607_cov_288.717647_g6983_i0.p1	K08202
NODE_10165_length_1607_cov_123.466667_g6984_i0.p1	K03469
NODE_10166_length_1607_cov_29.556863_g5353_i1.p1	K06268
NODE_10167_length_1607_cov_11.479085_g6985_i0.p4	K08834
NODE_10168_length_1606_cov_15392.525180_g6986_i0.p3	K09499
NODE_10169_length_1606_cov_1997.015697_g5473_i1.p1	K00635
NODE_1016_length_4270_cov_861.308371_g473_i1.p1	K23718
NODE_10170_length_1606_cov_1108.684107_g6987_i0.p1	K00555
NODE_10171_length_1606_cov_909.581426_g6988_i0.p1	K03327
NODE_10172_length_1606_cov_315.105952_g6411_i2.p1	K20276
NODE_10173_length_1606_cov_85.479398_g6989_i0.p1	K01929
NODE_10174_length_1606_cov_81.657946_g2297_i3.p1	K20276
NODE_10175_length_1606_cov_31.422498_g6990_i0.p1	K10388
NODE_10176_length_1606_cov_15.894702_g6991_i0.p1	K02316
NODE_10177_length_1606_cov_4.247874_g6992_i0.p1	K01142
NODE_10178_length_1605_cov_1324.071335_g6993_i0.p1	K16726
NODE_10179_length_1605_cov_1285.398560_g6994_i0.p1	K25830
NODE_10181_length_1605_cov_734.806283_g6996_i0.p1	K15103
NODE_10181_length_1605_cov_734.806283_g6996_i0.p2	K10429
NODE_10182_length_1605_cov_471.475785_g6997_i0.p1	K07605
NODE_10183_length_1605_cov_166.024869_g6998_i0.p1	K19326
NODE_10183_length_1605_cov_166.024869_g6998_i0.p2	K14157
NODE_10184_length_1605_cov_86.948298_g6020_i2.p1	K03546
NODE_10185_length_1605_cov_33.876963_g6999_i0.p1	K09251
NODE_10186_length_1605_cov_29.928010_g7000_i0.p1	K03546
NODE_10187_length_1605_cov_16.376963_g7001_i0.p1	K00791
NODE_10188_length_1605_cov_12.291885_g7002_i0.p2	K01069
NODE_10188_length_1605_cov_12.291885_g7002_i0.p1	K03469
NODE_10189_length_1604_cov_12152.041912_g4920_i1.p1	K16482
NODE_1018_length_4269_cov_699.625954_g673_i0.p1	K24469
NODE_10190_length_1604_cov_3645.837590_g519_i6.p1	K16481
NODE_10190_length_1604_cov_3645.837590_g519_i6.p3	K10777
NODE_10190_length_1604_cov_3645.837590_g519_i6.p6	K10238
NODE_10191_length_1604_cov_3081.043877_g3187_i2.p2	K05186
NODE_10192_length_1604_cov_2111.643091_g7003_i0.p1	K08202
NODE_10193_length_1604_cov_1643.444008_g1148_i11.p1	K14742
NODE_10194_length_1604_cov_1221.408644_g7004_i0.p1	K18717
NODE_10195_length_1604_cov_781.086444_g317_i9.p3	K10761
NODE_10196_length_1604_cov_634.895874_g7005_i0.p1	K10448
NODE_10196_length_1604_cov_634.895874_g7005_i0.p2	K04679
NODE_10197_length_1604_cov_118.127701_g7006_i0.p1	K07178
NODE_10197_length_1604_cov_118.127701_g7006_i0.p2	K10750
NODE_10198_length_1604_cov_21.880157_g7007_i0.p1	K17388
NODE_1019_length_4267_cov_73.366587_g674_i0.p1	K20276
NODE_101_length_9124_cov_400.270145_g57_i0.p1	K10408
NODE_10200_length_1603_cov_2402.506553_g7009_i0.p1	K17943
NODE_10201_length_1603_cov_2195.764089_g7009_i1.p1	K17943
NODE_10202_length_1603_cov_271.893840_g7010_i0.p1	K20974
NODE_10203_length_1603_cov_253.742464_g7011_i0.p1	K19304
NODE_10204_length_1603_cov_251.548493_g7012_i0.p1	K05717
NODE_10204_length_1603_cov_251.548493_g7012_i0.p3	K01681
NODE_10205_length_1603_cov_114.511796_g6998_i1.p1	K19326
NODE_10205_length_1603_cov_114.511796_g6998_i1.p3	K14157
NODE_10206_length_1603_cov_14.960682_g7013_i0.p2	K10352
NODE_10206_length_1603_cov_14.960682_g7013_i0.p1	K11578
NODE_10207_length_1602_cov_12123.278689_g7014_i0.p4	K07936
NODE_10207_length_1602_cov_12123.278689_g7014_i0.p2	K14327
NODE_10208_length_1602_cov_11921.069508_g7014_i1.p4	K07936
NODE_10208_length_1602_cov_11921.069508_g7014_i1.p2	K14327
NODE_10209_length_1602_cov_11167.293770_g7014_i2.p4	K07936
NODE_10209_length_1602_cov_11167.293770_g7014_i2.p2	K03086
NODE_1020_length_4266_cov_904.799714_g675_i0.p5	K14701
NODE_1020_length_4266_cov_904.799714_g675_i0.p1	K19114
NODE_10210_length_1602_cov_11142.148197_g7014_i3.p4	K07936
NODE_10210_length_1602_cov_11142.148197_g7014_i3.p2	K14327
NODE_10211_length_1602_cov_11110.465574_g7014_i4.p2	K14327
NODE_10211_length_1602_cov_11110.465574_g7014_i4.p4	K07936
NODE_10212_length_1602_cov_11078.283279_g7014_i5.p4	K07936
NODE_10212_length_1602_cov_11078.283279_g7014_i5.p2	K14327
NODE_10213_length_1602_cov_8546.571803_g7015_i0.p1	K25100
NODE_10215_length_1602_cov_2996.883279_g7016_i0.p1	K20283
NODE_10216_length_1602_cov_2169.554754_g7017_i0.p4	K12524
NODE_10216_length_1602_cov_2169.554754_g7017_i0.p1	K01338
NODE_10217_length_1602_cov_2004.677377_g7018_i0.p1	K03243
NODE_10218_length_1602_cov_599.057049_g7019_i0.p1	K01052
NODE_10219_length_1602_cov_542.321311_g7020_i0.p2	K22024
NODE_10219_length_1602_cov_542.321311_g7020_i0.p4	K08824
NODE_1021_length_4266_cov_182.640010_g676_i0.p1	K2087
NODE_10220_length_1602_cov_394.601967_g7021_i0.p1	K18626
NODE_10221_length_1602_cov_207.546885_g7022_i0.p2	K13780
NODE_10222_length_1602_cov_130.991475_g6200_i1.p1	K12874
NODE_10223_length_1602_cov_105.159344_g204_i3.p1	K21726
NODE_10224_length_1602_cov_13.099016_g7023_i0.p1	K01226
NODE_10225_length_1601_cov_3713.650919_g517_i3.p1	K20478
NODE_10226_length_1601_cov_234.316273_g7024_i0.p1	K26226
NODE_10227_length_1601_cov_158.099738_g927_i3.p1	K19173
NODE_10228_length_1601_cov_147.300525_g927_i4.p1	K05697
NODE_10229_length_1600_cov_10619.014445_g688_i10.p4	K02958
NODE_10229_length_1600_cov_10619.014445_g688_i10.p1	K16794
NODE_1022_length_4266_cov_178.608498_g676_i1.p1	K2087
NODE_10230_length_1600_cov_566.637557_g6925_i1.p1	K20478
NODE_10231_length_1600_cov_503.984898_g7025_i0.p1	K14724
NODE_10232_length_1600_cov_361.449114_g7026_i0.p1	K20478
NODE_10234_length_1600_cov_92.212738_g5917_i1.p3	K24524
NODE_10234_length_1600_cov_92.212738_g5917_i1.p1	K12324
NODE_10235_length_1600_cov_46.736704_g7028_i0.p1	K10954
NODE_10236_length_1600_cov_6.535785_g7029_i0.p1	K23934
NODE_10237_length_1599_cov_22392.416557_g6276_i1.p1	K09609
NODE_10238_length_1599_cov_6531.808804_g3470_i1.p2	K20283
NODE_10239_length_1599_cov_3187.557819_g7030_i0.p1	K10369
NODE_1023_length_4264_cov_1193.190351_g677_i0.p2	K08869
NODE_10240_length_1599_cov_2750.645204_g7031_i0.p1	K09228
NODE_10241_length_1599_cov_1747.719448_g7032_i0.p1	K19382
NODE_10242_length_1599_cov_1435.423127_g6699_i1.p1	K01153
NODE_10243_length_1599_cov_566.413929_g7033_i0.p1	K24869
NODE_10244_length_1599_cov_19.162943_g5239_i2.p1	K00888
NODE_10245_length_1599_cov_17.553219_g5239_i3.p1	K00888
NODE_10246_length_1599_cov_15.415900_g7034_i0.p1	K12854
NODE_10247_length_1599_cov_12.198423_g7035_i0.p1	K11491
NODE_10248_length_1599_cov_10.459921_g7036_i0.p1	K00334
NODE_10248_length_1599_cov_10.459921_g7036_i0.p2	K16264
NODE_10249_length_1598_cov_286.928994_g756_i2.p4	K16460
NODE_10249_length_1598_cov_286.928994_g756_i2.p1	K11294
NODE_1024_length_4263_cov_195.586001_g678_i0.p1	K03546
NODE_1024_length_4263_cov_195.586001_g678_i0.p2	K14557
NODE_10250_length_1598_cov_186.305062_g7037_i0.p3	K04950
NODE_10250_length_1598_cov_186.305062_g7037_i0.p2	K08212
NODE_10251_length_1598_cov_77.973044_g7038_i0.p1	K09291
NODE_10252_length_1598_cov_16.852071_g7039_i0.p1	K15333
NODE_10253_length_1598_cov_6.228139_g7040_i0.p1	K17491
NODE_10254_length_1597_cov_21868.863816_g2941_i1.p1	K12875
NODE_10255_length_1597_cov_1124.183553_g7041_i0.p1	K23677
NODE_10256_length_1597_cov_425.132237_g7042_i0.p1	K20478
NODE_10257_length_1597_cov_405.630263_g7043_i0.p1	K10455
NODE_10258_length_1597_cov_31.906579_g7044_i0.p1	K00525
NODE_1025_length_4263_cov_183.777831_g678_i1.p2	K14557
NODE_1025_length_4263_cov_183.777831_g678_i1.p1	K03546
NODE_10260_length_1596_cov_3429.391705_g4322_i1.p1	K01783
NODE_10261_length_1596_cov_2205.758394_g7046_i0.p1	K05350
NODE_10262_length_1596_cov_518.664911_g7047_i0.p2	K03152
NODE_10262_length_1596_cov_518.664911_g7047_i0.p1	K08869
NODE_10264_length_1596_cov_255.923634_g7049_i0.p1	K06177
NODE_10265_length_1596_cov_247.290981_g7049_i1.p1	K06177
NODE_10266_length_1596_cov_234.257406_g7050_i0.p1	K05350
NODE_10267_length_1596_cov_184.434496_g7051_i0.p1	K20276
NODE_10268_length_1596_cov_47.685978_g7052_i0.p4	K18464
NODE_10268_length_1596_cov_47.685978_g7052_i0.p6	K03175
NODE_10269_length_1596_cov_22.241606_g6170_i1.p4	K20307
NODE_10269_length_1596_cov_22.241606_g6170_i1.p3	K18494
NODE_1026_length_4262_cov_20.016726_g679_i0.p1	K03469
NODE_1026_length_4262_cov_20.016726_g679_i0.p2	K14440
NODE_10270_length_1596_cov_9.200790_g7053_i0.p1	K12349
NODE_10271_length_1596_cov_8.605662_g7054_i0.p1	K24260
NODE_10272_length_1595_cov_33954.266140_g7055_i0.p5	K07375
NODE_10272_length_1595_cov_33954.266140_g7055_i0.p1	K23424
NODE_10275_length_1595_cov_3795.177866_g7057_i0.p1	K0167
NODE_10276_length_1595_cov_3790.709486_g7058_i0.p3	K01285
NODE_10276_length_1595_cov_3790.709486_g7058_i0.p2	K00486
NODE_10277_length_1595_cov_2304.186430_g7059_i0.p1	K02331
NODE_10278_length_1595_cov_526.772727_g7060_i0.p5	K16544
NODE_10278_length_1595_cov_526.772727_g7060_i0.p2	K20896
NODE_10279_length_1595_cov_99.077075_g7061_i0.p2	K09291
NODE_10279_length_1595_cov_99.077075_g7061_i0.p1	K22767
NODE_1027_length_4261_cov_9121.647706_g680_i0.p3	K19683
NODE_1027_length_4261_cov_9121.647706_g680_i0.p1	K23730
NODE_10281_length_1595_cov_47.164690_g1070_i19.p1	K00157
NODE_10282_length_1595_cov_21.052042_g7063_i0.p1	K11835
NODE_10284_length_1594_cov_2510.563612_g1946_i2.p3	K14999
NODE_10284_length_1594_cov_2510.563612_g1946_i2.p1	K01887
NODE_10285_length_1594_cov_474.920237_g7065_i0.p1	K12014
NODE_10288_length_1594_cov_172.145023_g7068_i0.p1	K11891
NODE_1028_length_4260_cov_23.954817_g681_i0.p5	K10408
NODE_1028_length_4260_cov_23.954817_g681_i0.p2	K12824
NODE_1028_length_4260_cov_23.954817_g681_i0.p1	K10955
NODE_10290_length_1594_cov_7.663810_g7070_i0.p1	K01142
NODE_10292_length_1593_cov_4161.556728_g7072_i0.p1	K20478
NODE_10293_length_1593_cov_2671.544855_g7073_i0.p1	K23729
NODE_10294_length_1593_cov_2516.517150_g7074_i0.p1	K14848
NODE_10295_length_1593_cov_1819.313984_g7075_i0.p1	K20478
NODE_10296_length_1593_cov_1715.320580_g7076_i0.p1	K20052
NODE_10297_length_1593_cov_105.710422_g7077_i0.p1	K10772
NODE_10298_length_1593_cov_36.468997_g7078_i0.p1	K02338
NODE_10299_length_1593_cov_20.858839_g7079_i0.p1	K19480
NODE_10299_length_1593_cov_20.858839_g7079_i0.p2	K16694
NODE_1029_length_4257_cov_2787.395694_g364_i1.p2	K13412
NODE_1029_length_4257_cov_2787.395694_g364_i1.p1	K20974
NODE_1029_length_4257_cov_2787.395694_g364_i1.p1	K13112
NODE_102_length_9124_cov_362.017464_g57_i1.p1	K10408
NODE_10300_length_1593_cov_15.707124_g7080_i0.p1	K18757
NODE_10301_length_1593_cov_9.024406_g7081_i0.p1	K14387
NODE_10302_length_1592_cov_23167.293069_g1765_i1.p3	K03320
NODE_10302_length_1592_cov_23167.293069_g1765_i1.p1	K11423
NODE_10303_length_1592_cov_20353.221782_g74_i3.p1	K09784
NODE_10304_length_1592_cov_5148.247525_g7082_i0.p1	K24879
NODE_10304_length_1592_cov_5148.247525_g7082_i0.p3	K06168
NODE_10305_length_1592_cov_4335.712211_g73_i8.p4	K05097
NODE_10305_length_1592_cov_4335.712211_g73_i8.p3	K02146
NODE_10306_length_1592_cov_2912.483828_g7083_i0.p1	K12275
NODE_10307_length_1592_cov_770.287129_g7084_i0.p1	K10448
NODE_10308_length_1592_cov_746.569637_g7085_i0.p1	K17565
NODE_10309_length_1592_cov_117.918812_g7086_i0.p1	K10352
NODE_1030_length_4256_cov_572.489352_g682_i0.p1	K25639
NODE_1030_length_4256_cov_572.489352_g682_i0.p3	K03091
NODE_10311_length_1592_cov_11.379538_g7087_i0.p1	K03469
NODE_10312_length_1591_cov_6753.330251_g7088_i0.p1	K15015
NODE_10313_length_1591_cov_6035.513210_g536_i3.p1	K05657
NODE_10314_length_1591_cov_3513.636724_g7089_i0.p2	K00939
NODE_10315_length_1591_cov_1660.240423_g6924_i1.p1	K00888
NODE_10316_length_1591_cov_1504.316380_g7090_i0.p1	K20478
NODE_10318_length_1591_cov_504.272127_g7091_i0.p1	K10607
NODE_1031_length_4256_cov_198.830581_g683_i0.p1	K06669
NODE_10320_length_1591_cov_3.256275_g7093_i0.p1	K17914
NODE_10323_length_1590_cov_62.309319_g7096_i0.p1	K03583
NODE_10325_length_1590_cov_13.060145_g7098_i0.p1	K03088
NODE_10326_length_1589_cov_4222.139550_g5931_i1.p3	K20283
NODE_10326_length_1589_cov_4222.139550_g5931_i1.p2	K08220
NODE_10327_length_1589_cov_2801.044312_g7099_i0.p2	K11579
NODE_10329_length_1589_cov_1260.982143_g7101_i0.p2	K04841
NODE_10329_length_1589_cov_1260.982143_g7101_i0.p1	K19947
NODE_1032_length_4255_cov_336.213499_g684_i0.p1	K01890
NODE_10330_length_1589_cov_924.291667_g7102_i0.p1	K20276
NODE_10331_length_1589_cov_504.416667_g7103_i0.p1	K02836
NODE_10332_length_1589_cov_274.210979_g2009_i2.p5	K05391
NODE_10332_length_1589_cov_274.210979_g2009_i2.p1	K04209
NODE_10332_length_1589_cov_274.210979_g2009_i2.p6	K05038
NODE_10334_length_1588_cov_30785.603574_g7055_i1.p1	K23424
NODE_10334_length_1588_cov_30785.603574_g7055_i1.p5	K07375
NODE_10335_length_1588_cov_8172.892124_g7105_i0.p4	K21195
NODE_10336_length_1588_cov_6661.654533_g4184_i1.p1	K00380
NODE_10337_length_1588_cov_4477.253475_g6607_i1.p1	K23730
NODE_10337_length_1588_cov_4477.253475_g6607_i1.p2	K01104
NODE_10338_length_1588_cov_4319.948379_g4906_i2.p2	K10402
NODE_10339_length_1588_cov_2142.318994_g6401_i1.p1	K15015
NODE_1033_length_4253_cov_145.728688_g685_i0.p3	K05366
NODE_1033_length_4253_cov_145.728688_g685_i0.p1	K04911
NODE_10340_length_1588_cov_1496.153541_g7106_i0.p1	K20471
NODE_10341_length_1588_cov_798.157512_g7107_i0.p1	K03686
NODE_10342_length_1588_cov_371.483124_g7108_i0.p1	K02100
NODE_10343_length_1588_cov_131.510920_g7109_i0.p1	K21863
NODE_10344_length_1588_cov_100.737922_g7110_i0.p1	K23915
NODE_10345_length_1588_cov_9.968895_g7111_i0.p1	K15371
NODE_10347_length_1587_cov_5211.719868_g7113_i0.p2	K00738
